iaa_id,stratify_class,global_id,split_origin,file_name,width,height,all_classes_present,target_class_instance_count
1,competidor_number,431,train,DSC02061_JPG.rf.fa4bce0435a21569db2f6029c1c295de.jpg,4240,2832,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,3
2,competidor_number,341,train,_MG_5137_jpg.rf.759564a6962a62429dd7afca59acb268.jpg,5184,3456,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
3,competidor_number,414,train,DSC05207_JPG.rf.3ef4d418743f5d10baa666044481f197.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
4,competidor_number,267,train,DSC_0647_JPG.rf.8310c474b09f9d731e82196e9942b657.jpg,6000,4000,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
5,competidor_number,550,train,DSC05902_JPG.rf.1cb296f1df37172f3502153337dd6245.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
6,competidor_number,168,train,46_jpg.rf.30bb6002d357de5ac2ce8adbe5fa83ae.jpg,1134,756,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
7,competidor_number,502,train,DSC01859_JPG.rf.d516a6581dbccef74cb9bb377f67612c.jpg,4240,2832,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
8,competidor_number,932,valid,8D72B4DB-A8CB-4937-AE5A-00C6E37F3EE1_1_105_c_jpeg.rf.f4252efcc8fdec4161b9592c7a953761.jpg,1086,724,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
9,competidor_number,393,train,_MG_5421_jpg.rf.dbfa960dad7520230f30c3a390a511d6.jpg,5184,3456,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
10,competidor_number,596,train,8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg.rf.6949288806a6e8f2c773963b12ca47db.jpg,1086,724,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
11,helmet,504,train,DSC_0098_JPG.rf.ee2c94dcbd104edb556d736be3f16865.jpg,6000,4000,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,4
12,helmet,917,valid,DSC05261_JPG.rf.25bc451eed28bd91d63bc408484e5d21.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;helmet,3
13,helmet,20,train,sultana_132_jpg.rf.438ba9fcd6b3c748f784997cad88bea2.jpg,1333,890,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,3
14,helmet,219,train,DSC05721_JPG.rf.03c29b9d5d5c8efd92fa80d7573d10df.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,3
15,helmet,1107,test,DSC05664_JPG.rf.8a382184b16a7d99e2ae3e84502c2a2c.jpg,2832,4240,bicycle;cyclist;cyclist_clothes;cyclist_with_bike;helmet,3
16,helmet,63,train,DSC05209_JPG.rf.d07686834ad3db1b3a2820d79713e6b5.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,3
17,helmet,799,train,DSC05590_JPG.rf.1b541695bfd3dbabd07f68623931d844.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,3
18,helmet,222,train,DSC05211_JPG.rf.367a906bdc4e04729dea7f3ea2f09465.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,3
19,helmet,178,train,DSC05547_JPG.rf.1c5393b11122126e695e662aedae250f.jpg,2832,4240,bicycle;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
20,helmet,552,train,DSC05496_JPG.rf.980928a256cab906a544c2efbcb5c0df.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
21,bicycle,570,train,sultana_108_jpg.rf.fbc97734d40bac2130bd146ec6be2125.jpg,1333,890,bicycle;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
22,bicycle,89,train,DSC_0351_JPG.rf.0c42f0f7eea94f0abde0a12cdf5c099b.jpg,6000,4000,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
23,bicycle,583,train,DSC_0540_JPG.rf.5efca9c87b877fc173f64f68c28bdc59.jpg,6000,4000,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
24,bicycle,85,train,DSC01837_JPG.rf.3c9e7245efcfb59f8af8ffca8ed01e12.jpg,4240,2832,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
25,bicycle,643,train,DSC_0096_JPG.rf.78b7e3c53e9140deca359b2c9be7946d.jpg,6000,4000,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
26,bicycle,1196,test,DSC_0142_JPG.rf.b8b6aaf5e31814ee6add39a8fc306133.jpg,6000,4000,bicycle;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
27,bicycle,525,train,CD428EF7-5158-45CF-8ECE-09D8F95BDE8C_1_105_c_jpeg.rf.7d2300a953f742c5c54ed0080664248c.jpg,1086,724,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
28,bicycle,911,valid,DSC05885_JPG.rf.7bc514cf27af3b57c078605af135df84.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
29,bicycle,545,train,DSC05370_JPG.rf.883eb1006ccfe6a6b6f2f48e36b363b9.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
30,bicycle,979,valid,DSC_0084_JPG.rf.d1637e22336635b7e35580023912b781.jpg,6000,4000,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
31,cyclist_clothes,717,train,DSC_0544_JPG.rf.fc941bf55faf55a1b0182528703ece70.jpg,6000,4000,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,8
32,cyclist_clothes,1173,test,DSC_0248_JPG.rf.b1fa2c2321329ce2292c08aa15588272.jpg,6000,4000,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,7
33,cyclist_clothes,752,train,DSC01834_JPG.rf.9a1e4e542ce03d0e95b3f7985e47f73b.jpg,4240,2832,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,6
34,cyclist_clothes,999,valid,DSC_0576_JPG.rf.ffe58dba3539ca20c2777f99f1435d3a.jpg,6000,4000,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,6
35,cyclist_clothes,1172,test,14C013D7-AE7B-4A7C-BCBC-8D344EE35178_1_105_c_jpeg.rf.9b5a8f7b661c7b8d6e7f191475a153d9.jpg,1086,724,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,5
36,cyclist_clothes,849,train,_MG_5260_jpg.rf.ec5c29e3400ee1605033782f80708b71.jpg,5184,3456,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,5
37,cyclist_clothes,124,train,DSC_0134_JPG.rf.073134f7de73389f84f2243c14acb364.jpg,6000,4000,bicycle;cyclist;cyclist_clothes;cyclist_with_bike;helmet,5
38,cyclist_clothes,169,train,DSC05205_JPG.rf.b199a11087f2079449ab43e837083099.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,5
39,cyclist_clothes,769,train,P1094562_JPG.rf.a6ae1733145957d808ba705b11a83342.jpg,4000,6000,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,5
40,cyclist_clothes,1017,valid,el_calvario_026_jpg.rf.47726170404a2ead5e576b4767925b85.jpg,1333,890,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,5
41,cyclist_with_bike,883,train,DSC01867_JPG.rf.63eaa0ed23c288702fe1e0e2ed3e6e92.jpg,4240,2832,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
42,cyclist_with_bike,125,train,DSC05622_JPG.rf.1cf1a6ff25a883e94bfade606c95d602.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
43,cyclist_with_bike,659,train,sultana_140_jpg.rf.f7acbac306d80fbbb10d010becc53c82.jpg,1333,890,bicycle;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
44,cyclist_with_bike,1162,test,6E3F667C-6626-4C5F-BE10-084C281EA4B7_1_105_c_jpeg.rf.f8a970d851f9677ee060bce5701e533b.jpg,1086,724,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
45,cyclist_with_bike,754,train,P1093874_JPG.rf.10891b70dfe33232993f7c68c5e3edb4.jpg,4000,6000,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
46,cyclist_with_bike,585,train,DSC05180_JPG.rf.1566d487a0be2fc63cf0c87403d87bbf.jpg,2832,4240,bicycle;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
47,cyclist_with_bike,677,train,DSC05624_JPG.rf.e116323200d1819418e21c1b57e27016.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
48,cyclist_with_bike,900,train,_MG_5439_jpg.rf.c6cf425f7beaa9e00b41e77053285be0.jpg,5184,3456,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
49,cyclist_with_bike,366,train,el_calvario_097_jpg.rf.4f93aa26078aa935868333de940f8701.jpg,1333,890,bicycle;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
50,cyclist_with_bike,76,train,DSC05315_JPG.rf.cc1401c533125a0bbdff6bef02aa5b1d.jpg,2832,4240,bicycle;competidor_number;cyclist;cyclist_clothes;cyclist_with_bike;helmet,1
51,cyclist,1111,test,B857CEB6-E8F9-498C-B11A-975DD6B02FBB_1_105_c_jpeg.rf.0eae25a8c252bbbe4fe34da2b1131cec.jpg,1086,724,bicycle;cyclist;cyclist_clothes;cyclist_with_bike;helmet,2
