stem,type,orig_class,expert_class,iou
DSC02061,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC02061,missing_in_expert,competidor_number,(none),
DSC02061,missing_in_expert,helmet,(none),
DSC02061,missing_in_expert,competidor_number,(none),
DSC02061,missing_in_expert,competidor_number,(none),
DSC02061,missing_in_expert,cyclist_clothes,(none),
DSC02061,extra_in_expert,(none),competidor_number,
_MG_5137,missing_in_expert,cyclist_with_bike,(none),
_MG_5137,missing_in_expert,cyclist_clothes,(none),
_MG_5137,missing_in_expert,competidor_number,(none),
_MG_5137,missing_in_expert,cyclist_clothes,(none),
_MG_5137,missing_in_expert,cyclist_clothes,(none),
_MG_5137,expert_skipped_redundant_cyclist,cyclist,(skipped),
_MG_5137,extra_in_expert,(none),competidor_number,
DSC05207,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05207,missing_in_expert,cyclist_clothes,(none),
DSC05207,missing_in_expert,cyclist_clothes,(none),
DSC05207,missing_in_expert,cyclist_clothes,(none),
DSC05207,missing_in_expert,helmet,(none),
DSC05207,missing_in_expert,competidor_number,(none),
DSC05207,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05207,missing_in_expert,cyclist_clothes,(none),
DSC05207,missing_in_expert,cyclist_clothes,(none),
DSC05207,missing_in_expert,cyclist_clothes,(none),
DSC05207,extra_in_expert,(none),competidor_number,
DSC05207,extra_in_expert,(none),bicycle,
DSC_0647,missing_in_expert,cyclist_clothes,(none),
DSC_0647,missing_in_expert,cyclist_clothes,(none),
DSC_0647,missing_in_expert,cyclist_clothes,(none),
DSC_0647,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0647,missing_in_expert,competidor_number,(none),
DSC_0647,missing_in_expert,cyclist_clothes,(none),
DSC_0647,missing_in_expert,cyclist_clothes,(none),
DSC_0647,missing_in_expert,cyclist_clothes,(none),
DSC_0647,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0647,missing_in_expert,competidor_number,(none),
DSC_0647,missing_in_expert,bicycle,(none),
DSC_0647,extra_in_expert,(none),competidor_number,
DSC_0647,extra_in_expert,(none),competidor_number,
DSC05902,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05902,missing_in_expert,helmet,(none),
DSC05902,missing_in_expert,cyclist_clothes,(none),
DSC05902,missing_in_expert,cyclist_clothes,(none),
DSC05902,missing_in_expert,competidor_number,(none),
DSC05902,missing_in_expert,cyclist_clothes,(none),
DSC05902,extra_in_expert,(none),competidor_number,
46,missing_in_expert,cyclist_with_bike,(none),
