stem,stratify_class,orig_anns_kept,expert_anns,orig_cyclist_count,matches,unmatched_orig_excluding_cyclist,unmatched_expert,class_agree_on_matches,class_disagree_on_matches,mean_iou_on_matches
DSC02061,competidor_number,10,5,1,4,5,1,4,0,0.768
_MG_5137,competidor_number,15,10,2,9,5,1,9,0,0.795
DSC05207,competidor_number,18,10,2,8,8,2,8,0,0.712
DSC_0647,competidor_number,18,9,2,7,9,2,7,0,0.815
DSC05902,competidor_number,10,5,1,4,5,1,4,0,0.803
46,competidor_number,9,5,1,5,4,0,5,0,0.73
DSC01859,competidor_number,9,5,1,4,4,1,4,0,0.817
8D72B4DB-A8CB-4937-AE5A-00C6E37F3EE1_1_105_c_jpeg,competidor_number,9,6,1,4,4,2,4,0,0.85
_MG_5421,competidor_number,10,6,1,4,6,2,4,0,0.776
8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg,competidor_number,11,7,1,4,6,3,4,0,0.795
DSC_0098,helmet,24,12,3,10,12,2,10,0,0.679
DSC05261,helmet,11,5,1,4,6,1,3,1,0.874
sultana_132,helmet,18,9,2,8,8,1,8,0,0.762
DSC05721,helmet,11,5,1,4,6,1,4,0,0.83
DSC05664,helmet,10,5,1,4,5,1,4,0,0.808
DSC05209,helmet,13,7,1,5,7,2,4,1,0.8
DSC05590,helmet,11,5,1,4,6,1,4,0,0.807
DSC05211,helmet,14,9,2,6,6,3,6,0,0.788
DSC05547,helmet,6,4,1,4,1,0,4,0,0.777
DSC05496,helmet,11,5,1,4,6,1,4,0,0.775
sultana_108,bicycle,17,8,2,8,7,0,8,0,0.771
DSC_0351,bicycle,10,5,1,5,4,0,5,0,0.806
DSC01837,bicycle,9,5,1,3,5,2,3,0,0.847
DSC_0096,bicycle,16,9,2,8,6,1,8,0,0.79
CD428EF7-5158-45CF-8ECE-09D8F95BDE8C_1_105_c_jpeg,bicycle,9,5,1,4,4,1,4,0,0.7
DSC05885,bicycle,10,5,1,5,4,0,5,0,0.784
DSC05370,bicycle,10,5,1,5,4,0,5,0,0.806
DSC_0084,bicycle,9,5,1,5,3,0,5,0,0.696
DSC_0544,cyclist_clothes,15,7,2,7,7,0,6,1,0.766
DSC_0248,cyclist_clothes,14,5,2,4,9,1,4,0,0.812
DSC01834,cyclist_clothes,11,8,1,5,5,3,5,0,0.812
DSC_0576,cyclist_clothes,13,5,2,4,7,1,4,0,0.832
14C013D7-AE7B-4A7C-BCBC-8D344EE35178_1_105_c_jpeg,cyclist_clothes,11,6,1,5,5,1,5,0,0.787
_MG_5260,cyclist_clothes,10,5,1,4,5,1,4,0,0.758
DSC_0134,cyclist_clothes,9,4,1,4,4,0,4,0,0.804
DSC05205,cyclist_clothes,11,6,2,4,5,2,4,0,0.734
P1094562,cyclist_clothes,10,5,1,4,5,1,4,0,0.858
el_calvario_026,cyclist_clothes,10,5,1,4,5,1,4,0,0.807
DSC01867,cyclist_with_bike,10,6,1,3,6,3,3,0,0.845
DSC05622,cyclist_with_bike,10,5,1,5,4,0,5,0,0.759
sultana_140,cyclist_with_bike,9,4,1,3,5,1,3,0,0.863
6E3F667C-6626-4C5F-BE10-084C281EA4B7_1_105_c_jpeg,cyclist_with_bike,10,5,1,5,4,0,5,0,0.75
P1093874,cyclist_with_bike,11,5,1,4,6,1,4,0,0.814
DSC05180,cyclist_with_bike,9,4,1,3,5,1,3,0,0.88
DSC05624,cyclist_with_bike,10,5,1,4,5,1,4,0,0.721
_MG_5439,cyclist_with_bike,10,5,1,3,6,2,3,0,0.875
el_calvario_097,cyclist_with_bike,8,4,1,4,3,0,4,0,0.792
DSC05315,cyclist_with_bike,10,5,1,4,5,1,4,0,0.786
B857CEB6-E8F9-498C-B11A-975DD6B02FBB_1_105_c_jpeg,cyclist,7,5,2,4,1,1,4,0,0.804
DSC_0395,cyclist,11,13,2,6,4,7,5,1,0.819
DSC05837,cyclist,3,5,2,2,0,3,1,1,0.849
P1093942,cyclist,8,5,2,4,2,1,4,0,0.795
DSC05741,cyclist,10,5,2,4,4,1,4,0,0.754
_MG_5386,cyclist,7,4,2,4,1,0,4,0,0.795
DSC05479,cyclist,9,6,1,6,2,0,6,0,0.688
el_calvario_013,cyclist,8,5,1,4,3,1,4,0,0.817
DSC04509,cyclist,9,6,1,5,3,1,5,0,0.777
DSC05817,cyclist,9,5,1,4,4,1,4,0,0.805
